id	datum	ido	varos	stadion	nezoszam	ellenfel	lott	kapott	tetmeccs
329	1955.11.27	13:00:00	Budapest	Népstadion	103000	Olaszország	2	0	
330	1956.02.19		Isztambul		33000	Törökország	1	3	
331	1956.02.29		Bejrút		20000	Libanon	4	1	
332	1956.04.29	16:30:00	Budapest	Népstadion	100000	Jugoszlávia	2	2	
333	1956.05.20	17:00:00	Budapest	Népstadion	90000	Csehszlovákia	2	4	
334	1956.06.03		Brüsszel		70000	Belgium	4	5	
335	1956.06.09	19:30:00	Lisszabon	Nemzeti stadion	70000	Portugália	2	2	
336	1956.07.15	18:00:00	Budapest	Népstadion	48000	Lengyelország	4	1	
337	1956.09.16	17:00:00	Belgrád		65000	Jugoszlávia	3	1	
338	1956.09.23		Moszkva		105000	Szovjetunió	1	0	
339	1956.10.07		Párizs		60000	Franciaország	2	1	
340	1956.10.14		Bécs	Práter-stadion	65000	Ausztria	2	0	
341	1957.06.12	20:00:00	Oslo	Ullevaal-stadion	31430	Norvégia	1	2	VB-sel-1958
342	1957.06.16	19:00:00	Stockholm	Rasunda-stadion	35000	Svédország	0	0	
343	1957.06.23	18:00:00	Budapest	Népstadion	60000	Bulgária	4	1	VB-sel-1958
344	1957.09.15		Szófia		55000	Bulgária	2	1	VB-sel-1958
345	1957.09.23	16:30:00	Budapest	Népstadion	91000	Szovjetunió	1	2	
346	1957.10.06	15:00:00	Budapest	Népstadion	94000	Franciaország	2	0	
347	1957.11.10	14:00:00	Budapest	Népstadion	90000	Norvégia	5	0	VB-sel-1958
348	1957.12.22		Hannover	Niedersachsen-stadion	83800	Németország	0	1	
349	1958.04.20	16:30:00	Budapest	Népstadion	100000	Jugoszlávia	2	0	
350	1958.05.07		Glasgow		55000	Skócia	1	1	
351	1958.06.08		Sandviken		20000	Wales	1	1	VB-1958
352	1958.06.12		Stockholm		40000	Svédország	1	2	VB-1958
353	1958.06.15		Sandviken		13500	Mexikó	4	0	VB-1958
354	1958.06.17		Stockholm		4000	Wales	1	2	VB-1958
355	1958.09.14		Chorzow		110000	Lengyelország	3	1	
356	1958.09.28		Moszkva		120000	Szovjetunió	1	3	EB-sel-1960
357	1958.10.05		Zágráb		45000	Jugoszlávia	4	4	
358	1958.10.26		Bukarest		100000	Románia	2	1	
359	1958.11.23	14:30:00	Budapest	Népstadion	60000	Belgium	3	1	
360	1959.04.19	17:00:00	Budapest	Népstadion	90000	Jugoszlávia	4	0	
361	1959.05.01		Drezda		50000	NDK	1	0	
362	1959.06.28	17:30:00	Budapest	Népstadion	72000	Svédország	3	2	
363	1959.09.27	15:30:00	Budapest	Népstadion	90000	Szovjetunió	0	1	EB-sel-1960
364	1959.10.11		Belgrád		55000	Jugoszlávia	4	2	
365	1959.10.25	14:00:00	Budapest	Népstadion	70000	Svájc	8	0	
366	1959.11.08	13:30:00	Budapest	Népstadion	91300	Németország	4	3	
367	1959.11.29	14:00:00	Firenze		61000	Olaszország	1	1	
368	1960.05.22	17:30:00	Budapest	Népstadion	90000	Anglia	2	0	
369	1960.06.05	17:30:00	Budapest	Népstadion	85000	Skócia	3	3	
370	1960.10.09	15:00:00	Budapest	Népstadion	70000	Jugoszlávia	1	1	
371	1960.10.30		Brüsszel	Heysel-stadion	43400	Belgium	1	2	
372	1960.11.13	14:00:00	Budapest	Népstadion	35000	Lengyelország	4	1	
373	1960.11.20	13:30:00	Budapest	Népstadion	70000	Ausztria	2	0	
374	1961.02.17		Kairó		50000	Egyiptom	2	0	
375	1961.04.16	16:30:00	Budapest	Megyeri út	32000	NDK	2	0	VB-sel-1962
376	1961.04.30	16:00:00	Rotterdam	Feyenoord-stadion	65000	Hollandia	3	0	VB-sel-1962
377	1961.05.07		Belgrád		60000	Jugoszlávia	4	2	
378	1961.05.28	17:30:00	Budapest	Népstadion	46700	Wales	3	2	
379	1961.06.11	17:30:00	Budapest	Népstadion	80000	Ausztria	1	2	
380	1961.09.10		Berlin	Walter Ulbricht-stadion	30000	NDK	3	2	VB-sel-1962
381	1961.10.08		Bécs	Práter-stadion	92000	Ausztria	1	2	
382	1961.10.22	14:30:00	Budapest	Népstadion	30000	Hollandia	3	3	VB-sel-1962
383	1961.12.09		Santiago	Estadio Nacional	55000	Chile	1	5	
384	1961.12.13		Santiago	Estadio Nacional	42000	Chile	0	0	
385	1961.12.23		Montevideo	Stadio Centennario	22000	Uruguay	1	1	
386	1962.04.18	19:00:00	Budapest	Népstadion	80000	Uruguay	1	1	
387	1962.04.29	16:30:00	Budapest	Népstadion	40000	Törökország	2	1	
388	1962.05.31	21:00:00	Rancagua	Braden Cooper-stadion	13600	Anglia	2	1	VB-1962
389	1962.06.03		Rancagua	Braden Cooper-stadion	9000	Bulgária	6	1	VB-1962
390	1962.06.06		Rancagua	Braden Cooper-stadion	5000	Argentína	0	0	VB-1962
391	1962.06.10		Rancagua	Braden Cooper-stadion	14000	Csehszlovákia	0	1	VB-1962
392	1962.06.24	17:00:00	Bécs	Práter-stadion	75000	Ausztria	2	1	
393	1962.09.02	14:30:00	Poznan	Warta-stadion	40000	Lengyelország	2	0	
394	1962.10.14	14:30:00	Budapest	Népstadion	40000	Jugoszlávia	0	1	
